Iteration: 1, SVM accuracy: 54.135:
Iteration: 2, SVM accuracy: 52.257:
Iteration: 3, SVM accuracy: 54.873:
Iteration: 4, SVM accuracy: 59.554:
Iteration: 5, SVM accuracy: 63.251:
Iteration: 6, SVM accuracy: 53.368:
Iteration: 7, SVM accuracy: 56.072:
Iteration: 8, SVM accuracy: 61.904:
Iteration: 9, SVM accuracy: 59.740:
Iteration: 10, SVM accuracy: 54.056:
Iteration: 11, SVM accuracy: 60.940:
Iteration: 12, SVM accuracy: 60.321:
Iteration: 13, SVM accuracy: 57.321:
Iteration: 14, SVM accuracy: 55.463:
Iteration: 15, SVM accuracy: 55.679:
Iteration: 16, SVM accuracy: 58.354:
Iteration: 17, SVM accuracy: 60.203:
Iteration: 18, SVM accuracy: 63.910:
Iteration: 19, SVM accuracy: 55.286:
Iteration: 20, SVM accuracy: 59.642:
Iteration: 21, SVM accuracy: 59.150:
Iteration: 22, SVM accuracy: 50.231:
Iteration: 23, SVM accuracy: 54.735:
Iteration: 24, SVM accuracy: 59.298:
Iteration: 25, SVM accuracy: 56.692:
Iteration: 26, SVM accuracy: 63.507:
Iteration: 27, SVM accuracy: 59.121:
Iteration: 28, SVM accuracy: 51.136:
Iteration: 29, SVM accuracy: 61.717:
Iteration: 30, SVM accuracy: 63.674:
Iteration: 31, SVM accuracy: 62.887:
Iteration: 32, SVM accuracy: 60.999:
Iteration: 33, SVM accuracy: 58.816:
Iteration: 34, SVM accuracy: 59.160:
Iteration: 35, SVM accuracy: 58.285:
Iteration: 36, SVM accuracy: 57.597:
Iteration: 37, SVM accuracy: 56.603:
Iteration: 38, SVM accuracy: 65.051:
Iteration: 39, SVM accuracy: 48.579:
Iteration: 40, SVM accuracy: 49.041:
Iteration: 41, SVM accuracy: 58.393:
Iteration: 42, SVM accuracy: 49.553:
Iteration: 43, SVM accuracy: 58.275:
Iteration: 44, SVM accuracy: 51.283:
Iteration: 45, SVM accuracy: 60.016:
Iteration: 46, SVM accuracy: 60.753:
Iteration: 47, SVM accuracy: 59.160:
Iteration: 48, SVM accuracy: 54.823:
Iteration: 49, SVM accuracy: 56.633:
Iteration: 50, SVM accuracy: 56.131:
Iteration: 51, SVM accuracy: 58.885:
Iteration: 52, SVM accuracy: 59.445:
Iteration: 53, SVM accuracy: 53.152:
Iteration: 54, SVM accuracy: 46.455:
Iteration: 55, SVM accuracy: 61.097:
Iteration: 56, SVM accuracy: 61.805:
Iteration: 57, SVM accuracy: 57.606:
Iteration: 58, SVM accuracy: 56.417:
Iteration: 59, SVM accuracy: 51.736:
Iteration: 60, SVM accuracy: 55.138:
Iteration: 61, SVM accuracy: 54.981:
Iteration: 62, SVM accuracy: 58.354:
Iteration: 63, SVM accuracy: 62.671:
Iteration: 64, SVM accuracy: 61.422:
Iteration: 65, SVM accuracy: 52.552:
Iteration: 66, SVM accuracy: 60.645:
Iteration: 67, SVM accuracy: 54.578:
Iteration: 68, SVM accuracy: 51.077:
Iteration: 69, SVM accuracy: 57.528:
Iteration: 70, SVM accuracy: 54.253:
Iteration: 71, SVM accuracy: 57.085:
Iteration: 72, SVM accuracy: 52.218:
Iteration: 73, SVM accuracy: 55.669:
Iteration: 74, SVM accuracy: 56.889:
Iteration: 75, SVM accuracy: 58.226:
Iteration: 76, SVM accuracy: 57.715:
Iteration: 77, SVM accuracy: 56.417:
Iteration: 78, SVM accuracy: 62.622:
Iteration: 79, SVM accuracy: 61.019:
Iteration: 80, SVM accuracy: 56.633:
Iteration: 81, SVM accuracy: 60.891:
Iteration: 82, SVM accuracy: 55.748:
Iteration: 83, SVM accuracy: 59.613:
Iteration: 84, SVM accuracy: 65.228:
Iteration: 85, SVM accuracy: 64.864:
Iteration: 86, SVM accuracy: 59.082:
Iteration: 87, SVM accuracy: 55.128:
Iteration: 88, SVM accuracy: 61.737:
Iteration: 89, SVM accuracy: 57.606:
Iteration: 90, SVM accuracy: 49.543:
Iteration: 91, SVM accuracy: 54.705:
Iteration: 92, SVM accuracy: 52.670:
Iteration: 93, SVM accuracy: 58.029:
Iteration: 94, SVM accuracy: 57.656:
Iteration: 95, SVM accuracy: 65.818:
Iteration: 96, SVM accuracy: 54.686:
Iteration: 97, SVM accuracy: 48.668:
Iteration: 98, SVM accuracy: 59.819:
Iteration: 99, SVM accuracy: 58.550:
Iteration: 100, SVM accuracy: 53.870:
Average SVM accuracy: 57.358:
