Iteration: 1, SVM accuracy: 52.621:
Iteration: 2, SVM accuracy: 47.222:
Iteration: 3, SVM accuracy: 54.096:
Iteration: 4, SVM accuracy: 52.935:
Iteration: 5, SVM accuracy: 56.948:
Iteration: 6, SVM accuracy: 56.889:
Iteration: 7, SVM accuracy: 51.283:
Iteration: 8, SVM accuracy: 49.199:
Iteration: 9, SVM accuracy: 57.203:
Iteration: 10, SVM accuracy: 52.365:
Iteration: 11, SVM accuracy: 51.854:
Iteration: 12, SVM accuracy: 60.281:
Iteration: 13, SVM accuracy: 50.231:
Iteration: 14, SVM accuracy: 54.066:
Iteration: 15, SVM accuracy: 48.048:
Iteration: 16, SVM accuracy: 49.916:
Iteration: 17, SVM accuracy: 53.250:
Iteration: 18, SVM accuracy: 48.323:
Iteration: 19, SVM accuracy: 50.841:
Iteration: 20, SVM accuracy: 55.030:
Iteration: 21, SVM accuracy: 45.924:
Iteration: 22, SVM accuracy: 48.491:
Iteration: 23, SVM accuracy: 49.376:
Iteration: 24, SVM accuracy: 48.972:
Iteration: 25, SVM accuracy: 55.109:
Iteration: 26, SVM accuracy: 49.621:
Iteration: 27, SVM accuracy: 50.949:
Iteration: 28, SVM accuracy: 58.413:
Iteration: 29, SVM accuracy: 52.709:
Iteration: 30, SVM accuracy: 54.637:
Iteration: 31, SVM accuracy: 54.971:
Iteration: 32, SVM accuracy: 49.110:
Iteration: 33, SVM accuracy: 52.109:
Iteration: 34, SVM accuracy: 48.599:
Iteration: 35, SVM accuracy: 49.169:
Iteration: 36, SVM accuracy: 51.637:
Iteration: 37, SVM accuracy: 55.551:
Iteration: 38, SVM accuracy: 53.289:
Iteration: 39, SVM accuracy: 59.347:
Iteration: 40, SVM accuracy: 52.680:
Iteration: 41, SVM accuracy: 50.261:
Iteration: 42, SVM accuracy: 60.262:
Iteration: 43, SVM accuracy: 51.716:
Iteration: 44, SVM accuracy: 51.873:
Iteration: 45, SVM accuracy: 53.181:
Iteration: 46, SVM accuracy: 47.763:
Iteration: 47, SVM accuracy: 53.083:
Iteration: 48, SVM accuracy: 55.099:
Iteration: 49, SVM accuracy: 53.761:
Iteration: 50, SVM accuracy: 53.093:
Iteration: 51, SVM accuracy: 53.270:
Iteration: 52, SVM accuracy: 52.306:
Iteration: 53, SVM accuracy: 50.182:
Iteration: 54, SVM accuracy: 52.434:
Iteration: 55, SVM accuracy: 57.174:
Iteration: 56, SVM accuracy: 52.001:
Iteration: 57, SVM accuracy: 50.408:
Iteration: 58, SVM accuracy: 46.042:
Iteration: 59, SVM accuracy: 54.410:
Iteration: 60, SVM accuracy: 57.085:
Iteration: 61, SVM accuracy: 54.066:
Iteration: 62, SVM accuracy: 57.125:
Iteration: 63, SVM accuracy: 49.916:
Iteration: 64, SVM accuracy: 50.762:
Iteration: 65, SVM accuracy: 45.422:
Iteration: 66, SVM accuracy: 50.497:
Iteration: 67, SVM accuracy: 51.736:
Iteration: 68, SVM accuracy: 51.539:
Iteration: 69, SVM accuracy: 47.301:
Iteration: 70, SVM accuracy: 52.444:
Iteration: 71, SVM accuracy: 51.224:
Iteration: 72, SVM accuracy: 48.402:
Iteration: 73, SVM accuracy: 52.119:
Iteration: 74, SVM accuracy: 53.388:
Iteration: 75, SVM accuracy: 51.264:
Iteration: 76, SVM accuracy: 38.745:
Iteration: 77, SVM accuracy: 50.369:
Iteration: 78, SVM accuracy: 52.621:
Iteration: 79, SVM accuracy: 53.053:
Iteration: 80, SVM accuracy: 58.177:
Iteration: 81, SVM accuracy: 51.962:
Iteration: 82, SVM accuracy: 52.886:
Iteration: 83, SVM accuracy: 51.903:
Iteration: 84, SVM accuracy: 52.581:
Iteration: 85, SVM accuracy: 43.515:
Iteration: 86, SVM accuracy: 53.594:
Iteration: 87, SVM accuracy: 51.372:
Iteration: 88, SVM accuracy: 53.112:
Iteration: 89, SVM accuracy: 53.073:
Iteration: 90, SVM accuracy: 51.195:
Iteration: 91, SVM accuracy: 51.824:
Iteration: 92, SVM accuracy: 54.509:
Iteration: 93, SVM accuracy: 48.107:
Iteration: 94, SVM accuracy: 52.119:
Iteration: 95, SVM accuracy: 51.450:
Iteration: 96, SVM accuracy: 53.417:
Iteration: 97, SVM accuracy: 48.018:
Iteration: 98, SVM accuracy: 54.892:
Iteration: 99, SVM accuracy: 59.249:
Iteration: 100, SVM accuracy: 50.015:
Average SVM accuracy: 52.076:
