Iteration: 1, SVM accuracy: 53.506:
Iteration: 2, SVM accuracy: 57.587:
Iteration: 3, SVM accuracy: 55.561:
Iteration: 4, SVM accuracy: 53.004:
Iteration: 5, SVM accuracy: 48.913:
Iteration: 6, SVM accuracy: 54.784:
Iteration: 7, SVM accuracy: 49.385:
Iteration: 8, SVM accuracy: 52.129:
Iteration: 9, SVM accuracy: 53.929:
Iteration: 10, SVM accuracy: 52.031:
Iteration: 11, SVM accuracy: 56.318:
Iteration: 12, SVM accuracy: 58.354:
Iteration: 13, SVM accuracy: 53.742:
Iteration: 14, SVM accuracy: 47.704:
Iteration: 15, SVM accuracy: 53.820:
Iteration: 16, SVM accuracy: 53.673:
Iteration: 17, SVM accuracy: 58.787:
Iteration: 18, SVM accuracy: 51.047:
Iteration: 19, SVM accuracy: 55.610:
Iteration: 20, SVM accuracy: 54.165:
Iteration: 21, SVM accuracy: 52.945:
Iteration: 22, SVM accuracy: 53.388:
Iteration: 23, SVM accuracy: 59.868:
Iteration: 24, SVM accuracy: 47.271:
Iteration: 25, SVM accuracy: 55.138:
Iteration: 26, SVM accuracy: 51.893:
Iteration: 27, SVM accuracy: 59.917:
Iteration: 28, SVM accuracy: 55.266:
Iteration: 29, SVM accuracy: 53.427:
Iteration: 30, SVM accuracy: 53.506:
Iteration: 31, SVM accuracy: 51.500:
Iteration: 32, SVM accuracy: 50.949:
Iteration: 33, SVM accuracy: 52.375:
Iteration: 34, SVM accuracy: 55.984:
Iteration: 35, SVM accuracy: 53.653:
Iteration: 36, SVM accuracy: 53.063:
Iteration: 37, SVM accuracy: 47.841:
Iteration: 38, SVM accuracy: 55.689:
Iteration: 39, SVM accuracy: 53.929:
Iteration: 40, SVM accuracy: 55.187:
Iteration: 41, SVM accuracy: 52.100:
Iteration: 42, SVM accuracy: 50.978:
Iteration: 43, SVM accuracy: 53.476:
Iteration: 44, SVM accuracy: 54.637:
Iteration: 45, SVM accuracy: 50.123:
Iteration: 46, SVM accuracy: 53.181:
Iteration: 47, SVM accuracy: 51.146:
Iteration: 48, SVM accuracy: 52.994:
Iteration: 49, SVM accuracy: 50.772:
Iteration: 50, SVM accuracy: 54.843:
Iteration: 51, SVM accuracy: 52.345:
Iteration: 52, SVM accuracy: 55.994:
Iteration: 53, SVM accuracy: 53.289:
Iteration: 54, SVM accuracy: 50.211:
Iteration: 55, SVM accuracy: 52.611:
Iteration: 56, SVM accuracy: 52.493:
Iteration: 57, SVM accuracy: 47.487:
Iteration: 58, SVM accuracy: 49.641:
Iteration: 59, SVM accuracy: 50.929:
Iteration: 60, SVM accuracy: 53.565:
Iteration: 61, SVM accuracy: 51.372:
Iteration: 62, SVM accuracy: 57.243:
Iteration: 63, SVM accuracy: 58.010:
Iteration: 64, SVM accuracy: 48.746:
Iteration: 65, SVM accuracy: 53.722:
Iteration: 66, SVM accuracy: 52.886:
Iteration: 67, SVM accuracy: 53.427:
Iteration: 68, SVM accuracy: 51.362:
Iteration: 69, SVM accuracy: 58.718:
Iteration: 70, SVM accuracy: 53.358:
Iteration: 71, SVM accuracy: 55.915:
Iteration: 72, SVM accuracy: 49.838:
Iteration: 73, SVM accuracy: 50.988:
Iteration: 74, SVM accuracy: 52.611:
Iteration: 75, SVM accuracy: 54.047:
Iteration: 76, SVM accuracy: 53.437:
Iteration: 77, SVM accuracy: 53.850:
Iteration: 78, SVM accuracy: 45.924:
Iteration: 79, SVM accuracy: 51.116:
Iteration: 80, SVM accuracy: 50.634:
Iteration: 81, SVM accuracy: 54.361:
Iteration: 82, SVM accuracy: 52.876:
Iteration: 83, SVM accuracy: 45.865:
Iteration: 84, SVM accuracy: 51.588:
Iteration: 85, SVM accuracy: 53.752:
Iteration: 86, SVM accuracy: 49.710:
Iteration: 87, SVM accuracy: 48.972:
Iteration: 88, SVM accuracy: 59.200:
Iteration: 89, SVM accuracy: 52.050:
Iteration: 90, SVM accuracy: 56.849:
Iteration: 91, SVM accuracy: 49.169:
Iteration: 92, SVM accuracy: 52.739:
Iteration: 93, SVM accuracy: 49.857:
Iteration: 94, SVM accuracy: 58.334:
Iteration: 95, SVM accuracy: 53.919:
Iteration: 96, SVM accuracy: 53.339:
Iteration: 97, SVM accuracy: 51.755:
Iteration: 98, SVM accuracy: 44.763:
Iteration: 99, SVM accuracy: 54.056:
Iteration: 100, SVM accuracy: 53.801:
Average SVM accuracy: 52.938:
