Iteration: 1, SVM accuracy: 38.942:
Iteration: 2, SVM accuracy: 45.019:
Iteration: 3, SVM accuracy: 46.465:
Iteration: 4, SVM accuracy: 33.317:
Iteration: 5, SVM accuracy: 40.083:
Iteration: 6, SVM accuracy: 46.770:
Iteration: 7, SVM accuracy: 40.368:
Iteration: 8, SVM accuracy: 48.205:
Iteration: 9, SVM accuracy: 55.895:
Iteration: 10, SVM accuracy: 29.206:
Iteration: 11, SVM accuracy: 41.204:
Iteration: 12, SVM accuracy: 38.755:
Iteration: 13, SVM accuracy: 40.820:
Iteration: 14, SVM accuracy: 45.147:
Iteration: 15, SVM accuracy: 41.990:
Iteration: 16, SVM accuracy: 58.875:
Iteration: 17, SVM accuracy: 54.145:
Iteration: 18, SVM accuracy: 51.077:
Iteration: 19, SVM accuracy: 53.280:
Iteration: 20, SVM accuracy: 44.439:
Iteration: 21, SVM accuracy: 47.143:
Iteration: 22, SVM accuracy: 47.271:
Iteration: 23, SVM accuracy: 39.030:
Iteration: 24, SVM accuracy: 51.982:
Iteration: 25, SVM accuracy: 39.227:
Iteration: 26, SVM accuracy: 51.096:
Iteration: 27, SVM accuracy: 44.980:
Iteration: 28, SVM accuracy: 46.642:
Iteration: 29, SVM accuracy: 54.941:
Iteration: 30, SVM accuracy: 33.651:
Iteration: 31, SVM accuracy: 39.847:
Iteration: 32, SVM accuracy: 51.352:
Iteration: 33, SVM accuracy: 41.853:
Iteration: 34, SVM accuracy: 52.758:
Iteration: 35, SVM accuracy: 58.570:
Iteration: 36, SVM accuracy: 46.199:
Iteration: 37, SVM accuracy: 47.281:
Iteration: 38, SVM accuracy: 54.637:
Iteration: 39, SVM accuracy: 41.931:
Iteration: 40, SVM accuracy: 53.584:
Iteration: 41, SVM accuracy: 36.818:
Iteration: 42, SVM accuracy: 51.352:
Iteration: 43, SVM accuracy: 56.446:
Iteration: 44, SVM accuracy: 41.587:
Iteration: 45, SVM accuracy: 60.026:
Iteration: 46, SVM accuracy: 35.923:
Iteration: 47, SVM accuracy: 51.539:
Iteration: 48, SVM accuracy: 40.437:
Iteration: 49, SVM accuracy: 36.208:
Iteration: 50, SVM accuracy: 48.992:
Iteration: 51, SVM accuracy: 44.921:
Iteration: 52, SVM accuracy: 40.594:
Iteration: 53, SVM accuracy: 50.801:
Iteration: 54, SVM accuracy: 47.104:
Iteration: 55, SVM accuracy: 41.764:
Iteration: 56, SVM accuracy: 55.374:
Iteration: 57, SVM accuracy: 45.560:
Iteration: 58, SVM accuracy: 59.455:
Iteration: 59, SVM accuracy: 42.689:
Iteration: 60, SVM accuracy: 35.775:
Iteration: 61, SVM accuracy: 49.120:
Iteration: 62, SVM accuracy: 39.679:
Iteration: 63, SVM accuracy: 40.614:
Iteration: 64, SVM accuracy: 60.675:
Iteration: 65, SVM accuracy: 41.548:
Iteration: 66, SVM accuracy: 42.512:
Iteration: 67, SVM accuracy: 29.216:
Iteration: 68, SVM accuracy: 46.032:
Iteration: 69, SVM accuracy: 43.947:
Iteration: 70, SVM accuracy: 40.151:
Iteration: 71, SVM accuracy: 39.227:
Iteration: 72, SVM accuracy: 47.684:
Iteration: 73, SVM accuracy: 40.909:
Iteration: 74, SVM accuracy: 48.992:
Iteration: 75, SVM accuracy: 48.205:
Iteration: 76, SVM accuracy: 52.198:
Iteration: 77, SVM accuracy: 39.965:
Iteration: 78, SVM accuracy: 36.011:
Iteration: 79, SVM accuracy: 40.712:
Iteration: 80, SVM accuracy: 36.424:
Iteration: 81, SVM accuracy: 34.084:
Iteration: 82, SVM accuracy: 38.529:
Iteration: 83, SVM accuracy: 45.167:
Iteration: 84, SVM accuracy: 38.372:
Iteration: 85, SVM accuracy: 37.831:
Iteration: 86, SVM accuracy: 60.920:
Iteration: 87, SVM accuracy: 49.907:
Iteration: 88, SVM accuracy: 49.149:
Iteration: 89, SVM accuracy: 32.884:
Iteration: 90, SVM accuracy: 48.205:
Iteration: 91, SVM accuracy: 43.249:
Iteration: 92, SVM accuracy: 46.534:
Iteration: 93, SVM accuracy: 53.850:
Iteration: 94, SVM accuracy: 35.933:
Iteration: 95, SVM accuracy: 49.779:
Iteration: 96, SVM accuracy: 49.484:
Iteration: 97, SVM accuracy: 38.755:
Iteration: 98, SVM accuracy: 36.011:
Iteration: 99, SVM accuracy: 52.404:
Iteration: 100, SVM accuracy: 54.971:
Average SVM accuracy: 45.212:
