Iteration: 1, SVM accuracy: 58.271:
Iteration: 2, SVM accuracy: 48.229:
Iteration: 3, SVM accuracy: 45.372:
Iteration: 4, SVM accuracy: 40.859:
Iteration: 5, SVM accuracy: 47.580:
Iteration: 6, SVM accuracy: 38.845:
Iteration: 7, SVM accuracy: 49.175:
Iteration: 8, SVM accuracy: 47.384:
Iteration: 9, SVM accuracy: 47.509:
Iteration: 10, SVM accuracy: 46.418:
Iteration: 11, SVM accuracy: 34.967:
Iteration: 12, SVM accuracy: 36.950:
Iteration: 13, SVM accuracy: 47.038:
Iteration: 14, SVM accuracy: 45.220:
Iteration: 15, SVM accuracy: 38.832:
Iteration: 16, SVM accuracy: 48.460:
Iteration: 17, SVM accuracy: 50.741:
Iteration: 18, SVM accuracy: 40.463:
Iteration: 19, SVM accuracy: 58.454:
Iteration: 20, SVM accuracy: 55.585:
Iteration: 21, SVM accuracy: 34.602:
Iteration: 22, SVM accuracy: 32.512:
Iteration: 23, SVM accuracy: 38.628:
Iteration: 24, SVM accuracy: 45.069:
Iteration: 25, SVM accuracy: 37.808:
Iteration: 26, SVM accuracy: 56.727:
Iteration: 27, SVM accuracy: 40.270:
Iteration: 28, SVM accuracy: 51.564:
Iteration: 29, SVM accuracy: 49.943:
Iteration: 30, SVM accuracy: 36.410:
Iteration: 31, SVM accuracy: 54.738:
Iteration: 32, SVM accuracy: 42.867:
Iteration: 33, SVM accuracy: 35.982:
Iteration: 34, SVM accuracy: 42.987:
Iteration: 35, SVM accuracy: 38.951:
Iteration: 36, SVM accuracy: 51.158:
Iteration: 37, SVM accuracy: 42.770:
Iteration: 38, SVM accuracy: 46.270:
Iteration: 39, SVM accuracy: 34.513:
Iteration: 40, SVM accuracy: 48.308:
Iteration: 41, SVM accuracy: 37.238:
Iteration: 42, SVM accuracy: 42.599:
Iteration: 43, SVM accuracy: 34.375:
Iteration: 44, SVM accuracy: 33.100:
Iteration: 45, SVM accuracy: 45.266:
Iteration: 46, SVM accuracy: 28.958:
Iteration: 47, SVM accuracy: 45.125:
Iteration: 48, SVM accuracy: 44.976:
Iteration: 49, SVM accuracy: 43.582:
Iteration: 50, SVM accuracy: 45.514:
Iteration: 51, SVM accuracy: 51.178:
Iteration: 52, SVM accuracy: 47.709:
Iteration: 53, SVM accuracy: 48.898:
Iteration: 54, SVM accuracy: 35.084:
Iteration: 55, SVM accuracy: 51.954:
Iteration: 56, SVM accuracy: 53.011:
Iteration: 57, SVM accuracy: 44.511:
Iteration: 58, SVM accuracy: 44.059:
Iteration: 59, SVM accuracy: 50.150:
Iteration: 60, SVM accuracy: 40.159:
Iteration: 61, SVM accuracy: 55.651:
Iteration: 62, SVM accuracy: 35.395:
Iteration: 63, SVM accuracy: 47.252:
Iteration: 64, SVM accuracy: 40.627:
Iteration: 65, SVM accuracy: 42.581:
Iteration: 66, SVM accuracy: 54.720:
Iteration: 67, SVM accuracy: 41.546:
Iteration: 68, SVM accuracy: 37.957:
Iteration: 69, SVM accuracy: 29.959:
Iteration: 70, SVM accuracy: 35.364:
Iteration: 71, SVM accuracy: 44.330:
Iteration: 72, SVM accuracy: 49.021:
Iteration: 73, SVM accuracy: 47.978:
Iteration: 74, SVM accuracy: 37.856:
Iteration: 75, SVM accuracy: 41.391:
Iteration: 76, SVM accuracy: 50.962:
Iteration: 77, SVM accuracy: 48.999:
Iteration: 78, SVM accuracy: 39.955:
Iteration: 79, SVM accuracy: 48.176:
Iteration: 80, SVM accuracy: 52.124:
Iteration: 81, SVM accuracy: 51.781:
Iteration: 82, SVM accuracy: 45.740:
Iteration: 83, SVM accuracy: 45.077:
Iteration: 84, SVM accuracy: 38.879:
Iteration: 85, SVM accuracy: 42.415:
Iteration: 86, SVM accuracy: 36.115:
Iteration: 87, SVM accuracy: 42.417:
Iteration: 88, SVM accuracy: 32.267:
Iteration: 89, SVM accuracy: 50.950:
Iteration: 90, SVM accuracy: 32.207:
Iteration: 91, SVM accuracy: 41.076:
Iteration: 92, SVM accuracy: 55.726:
Iteration: 93, SVM accuracy: 47.215:
Iteration: 94, SVM accuracy: 45.655:
Iteration: 95, SVM accuracy: 48.705:
Iteration: 96, SVM accuracy: 47.354:
Iteration: 97, SVM accuracy: 49.226:
Iteration: 98, SVM accuracy: 44.549:
Iteration: 99, SVM accuracy: 57.335:
Iteration: 100, SVM accuracy: 51.242:
Average SVM accuracy: 44.436:
