Iteration: 1, SVM accuracy: 57.597:
Iteration: 2, SVM accuracy: 49.536:
Iteration: 3, SVM accuracy: 54.263:
Iteration: 4, SVM accuracy: 60.818:
Iteration: 5, SVM accuracy: 41.680:
Iteration: 6, SVM accuracy: 54.497:
Iteration: 7, SVM accuracy: 48.720:
Iteration: 8, SVM accuracy: 53.505:
Iteration: 9, SVM accuracy: 40.125:
Iteration: 10, SVM accuracy: 68.908:
Iteration: 11, SVM accuracy: 52.544:
Iteration: 12, SVM accuracy: 52.074:
Iteration: 13, SVM accuracy: 45.150:
Iteration: 14, SVM accuracy: 56.191:
Iteration: 15, SVM accuracy: 50.685:
Iteration: 16, SVM accuracy: 45.726:
Iteration: 17, SVM accuracy: 49.780:
Iteration: 18, SVM accuracy: 62.555:
Iteration: 19, SVM accuracy: 66.193:
Iteration: 20, SVM accuracy: 50.097:
Iteration: 21, SVM accuracy: 51.994:
Iteration: 22, SVM accuracy: 56.091:
Iteration: 23, SVM accuracy: 45.257:
Iteration: 24, SVM accuracy: 54.938:
Iteration: 25, SVM accuracy: 58.982:
Iteration: 26, SVM accuracy: 56.026:
Iteration: 27, SVM accuracy: 44.211:
Iteration: 28, SVM accuracy: 62.236:
Iteration: 29, SVM accuracy: 45.834:
Iteration: 30, SVM accuracy: 33.593:
Iteration: 31, SVM accuracy: 53.981:
Iteration: 32, SVM accuracy: 42.862:
Iteration: 33, SVM accuracy: 61.453:
Iteration: 34, SVM accuracy: 52.477:
Iteration: 35, SVM accuracy: 37.613:
Iteration: 36, SVM accuracy: 61.621:
Iteration: 37, SVM accuracy: 42.898:
Iteration: 38, SVM accuracy: 60.084:
Iteration: 39, SVM accuracy: 64.429:
Iteration: 40, SVM accuracy: 62.941:
Iteration: 41, SVM accuracy: 46.310:
Iteration: 42, SVM accuracy: 67.632:
Iteration: 43, SVM accuracy: 52.791:
Iteration: 44, SVM accuracy: 53.108:
Iteration: 45, SVM accuracy: 39.810:
Iteration: 46, SVM accuracy: 56.477:
Iteration: 47, SVM accuracy: 40.872:
Iteration: 48, SVM accuracy: 52.780:
Iteration: 49, SVM accuracy: 45.974:
Iteration: 50, SVM accuracy: 55.761:
Iteration: 51, SVM accuracy: 52.506:
Iteration: 52, SVM accuracy: 63.055:
Iteration: 53, SVM accuracy: 64.128:
Iteration: 54, SVM accuracy: 49.145:
Iteration: 55, SVM accuracy: 60.319:
Iteration: 56, SVM accuracy: 41.109:
Iteration: 57, SVM accuracy: 52.240:
Iteration: 58, SVM accuracy: 46.809:
Iteration: 59, SVM accuracy: 62.073:
Iteration: 60, SVM accuracy: 47.719:
Iteration: 61, SVM accuracy: 49.195:
Iteration: 62, SVM accuracy: 57.749:
Iteration: 63, SVM accuracy: 44.054:
Iteration: 64, SVM accuracy: 55.125:
Iteration: 65, SVM accuracy: 52.326:
Iteration: 66, SVM accuracy: 69.838:
Iteration: 67, SVM accuracy: 54.782:
Iteration: 68, SVM accuracy: 61.534:
Iteration: 69, SVM accuracy: 31.866:
Iteration: 70, SVM accuracy: 41.889:
Iteration: 71, SVM accuracy: 52.331:
Iteration: 72, SVM accuracy: 49.444:
Iteration: 73, SVM accuracy: 56.389:
Iteration: 74, SVM accuracy: 50.087:
Iteration: 75, SVM accuracy: 51.144:
Iteration: 76, SVM accuracy: 46.698:
Iteration: 77, SVM accuracy: 32.077:
Iteration: 78, SVM accuracy: 49.966:
Iteration: 79, SVM accuracy: 60.944:
Iteration: 80, SVM accuracy: 51.035:
Iteration: 81, SVM accuracy: 54.886:
Iteration: 82, SVM accuracy: 61.008:
Iteration: 83, SVM accuracy: 55.414:
Iteration: 84, SVM accuracy: 45.030:
Iteration: 85, SVM accuracy: 50.636:
Iteration: 86, SVM accuracy: 63.304:
Iteration: 87, SVM accuracy: 45.511:
Iteration: 88, SVM accuracy: 41.567:
Iteration: 89, SVM accuracy: 55.792:
Iteration: 90, SVM accuracy: 67.281:
Iteration: 91, SVM accuracy: 61.880:
Iteration: 92, SVM accuracy: 56.235:
Iteration: 93, SVM accuracy: 57.457:
Iteration: 94, SVM accuracy: 48.317:
Iteration: 95, SVM accuracy: 39.765:
Iteration: 96, SVM accuracy: 61.015:
Iteration: 97, SVM accuracy: 54.641:
Iteration: 98, SVM accuracy: 59.647:
Iteration: 99, SVM accuracy: 50.258:
Iteration: 100, SVM accuracy: 65.107:
Average SVM accuracy: 52.740:
